GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clearfolio Viewer,com.clearfolio.viewer.config,ConversionProperties,0,137,0,8,0,45,0,21,0,17
Clearfolio Viewer,com.clearfolio.viewer.config,ConversionExecutorConfig,0,32,0,0,0,8,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.config,ViewerSecurityHeadersWebFilter,0,159,0,20,0,32,0,15,0,5
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultDocumentValidationService,0,260,0,38,0,73,0,28,0,9
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultDocumentConversionService,0,185,0,12,0,45,0,12,0,6
Clearfolio Viewer,com.clearfolio.viewer.service,PolicyOverrideRequest,0,69,0,8,0,22,0,13,0,9
Clearfolio Viewer,com.clearfolio.viewer.service,DefaultConversionWorker,0,318,0,26,0,91,0,29,0,16
Clearfolio Viewer,com.clearfolio.viewer.service,RetryDeadLetterResult,0,21,0,0,0,4,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer.service,DocumentConversionService,0,4,0,0,0,1,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer.service,DocumentValidationService,0,4,0,0,0,2,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer.model,ConversionJobStatus,0,27,0,0,0,5,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer.model,ConversionJob,0,317,0,30,0,92,0,41,0,26
Clearfolio Viewer,com.clearfolio.viewer.artifact,PdfBoxArtifactGenerator,0,161,0,14,0,39,0,11,0,4
Clearfolio Viewer,com.clearfolio.viewer.artifact,PdfBoxArtifactGenerator.OutputTarget,0,32,0,0,0,6,0,4,0,4
Clearfolio Viewer,com.clearfolio.viewer.artifact,InMemoryArtifactStore,0,32,0,2,0,8,0,4,0,3
Clearfolio Viewer,com.clearfolio.viewer.api,ViewerBootstrapResponse,0,115,0,14,0,25,0,13,0,4
Clearfolio Viewer,com.clearfolio.viewer.api,SubmitConversionResponse,0,21,0,0,0,2,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.api,ApiErrorResponse,0,27,0,2,0,5,0,3,0,2
Clearfolio Viewer,com.clearfolio.viewer.api,KpiSnapshotResponse,0,149,0,18,0,33,0,13,0,4
Clearfolio Viewer,com.clearfolio.viewer.api,ConversionJobStatusResponse,0,68,0,0,0,14,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.repository,InMemoryConversionJobRepository,0,147,0,18,0,32,0,16,0,7
Clearfolio Viewer,com.clearfolio.viewer.repository,ConversionJobRepository.FindOrStoreResult,0,9,0,0,0,1,0,1,0,1
Clearfolio Viewer,com.clearfolio.viewer,ClearfolioViewerApplication,0,8,0,0,0,3,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.exception,UnsupportedDocumentFormatException,0,24,0,4,0,8,0,5,0,3
Clearfolio Viewer,com.clearfolio.viewer.controller,AnalyticsController,0,11,0,0,0,4,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.controller,ArtifactController.ResolvedRange,0,39,0,0,0,4,0,4,0,4
Clearfolio Viewer,com.clearfolio.viewer.controller,ConversionController,0,214,0,20,0,42,0,22,0,12
Clearfolio Viewer,com.clearfolio.viewer.controller,ArtifactController,0,422,0,42,0,94,0,30,0,9
Clearfolio Viewer,com.clearfolio.viewer.controller,ApiExceptionHandler,0,345,0,34,0,97,0,33,0,16
Clearfolio Viewer,com.clearfolio.viewer.controller,HealthController,0,7,0,0,0,2,0,2,0,2
Clearfolio Viewer,com.clearfolio.viewer.controller,InMemoryMultipartFile,0,78,0,4,0,17,0,12,0,10
Clearfolio Viewer,com.clearfolio.viewer.controller,ViewerUiController,0,67,0,4,0,25,0,7,0,5
